what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1476638209036
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1476638209037
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1476638209043
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1476638209044
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1476638209045
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1476638209055
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1476638209061
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1476638209062
os,sysinfo,,,"linux",1476638209085
arch,sysinfo,,,"x86",1476638209085
ws,sysinfo,,,"gtk",1476638209085
locale,sysinfo,,,"zh_CN",1476638209085
processors,sysinfo,,,"1",1476638209085
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1476638209085
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1476638209085
java.specification.name,sysinfo,,,"Java Platform API Specification",1476638209085
java.specification.vendor,sysinfo,,,"Oracle Corporation",1476638209085
java.specification.version,sysinfo,,,"1.7",1476638209085
java.vendor,sysinfo,,,"Oracle Corporation",1476638209085
java.version,sysinfo,,,"1.7.0_07",1476638209085
java.vm.info,sysinfo,,,"mixed mode",1476638209085
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1476638209085
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1476638209085
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1476638209085
java.vm.specification.version,sysinfo,,,"1.7",1476638209085
java.vm.vendor,sysinfo,,,"Oracle Corporation",1476638209085
java.vm.version,sysinfo,,,"23.3-b01",1476638209085
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1476638209116
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1476638209373
